"","HOUR_I_R","ALCHL_I","ALIGN_I","STRATUM_R","WRK_ZONE","WKDY_I_R","INT_HWY","LGTCON_I_R","MANCOL_I_R","PED_ACC_R","RELJCT_I_R","REL_RWY_R","PROFIL_I_R","SPD_LIM","SUR_COND","TRAF_CON_R","TRAF_WAY","VEH_INVL","WEATHER_R","INJURY"
"3823",0,2,1,1,0,1,0,3,2,0,1,1,1,40,1,1,1,2,1,0
"28310",0,2,1,0,0,1,0,1,2,0,1,1,0,45,1,1,2,2,1,1
"24477",1,2,1,1,0,1,0,1,2,0,1,1,0,25,1,1,2,2,1,1
"29735",1,2,1,1,0,1,0,1,2,0,1,1,0,40,1,2,2,2,1,1
"2362",1,2,1,0,0,0,0,3,2,0,1,1,0,50,2,1,2,2,2,0
"30449",0,2,1,0,0,1,0,1,2,0,0,1,0,40,1,0,2,2,1,1
"34094",0,2,1,0,0,0,0,1,2,0,1,1,0,35,1,1,1,2,1,1
"1431",0,2,1,0,0,1,0,3,0,0,1,0,0,30,1,0,1,1,1,1
"36355",0,2,1,0,0,1,0,1,2,0,1,1,0,50,1,1,1,2,1,0
"10116",0,2,2,0,0,0,0,2,0,0,0,0,1,55,1,0,1,1,1,1
"10161",0,2,1,1,0,1,0,2,0,0,0,0,1,55,1,0,1,1,1,1
"19428",0,2,1,0,0,1,1,1,2,0,0,1,1,60,1,0,2,3,1,0
"27327",1,2,1,0,0,1,0,1,2,0,1,1,0,25,1,2,2,2,1,0
"17905",0,2,1,0,0,1,0,1,0,0,0,0,0,25,2,0,1,1,2,0
"131",1,2,1,0,0,1,0,3,2,0,0,1,1,55,2,0,2,2,2,1
"18964",0,2,1,0,1,1,0,1,2,0,0,1,1,40,1,0,2,2,1,1
"9167",1,2,1,1,0,1,0,2,0,0,0,1,0,50,2,0,1,1,2,0
"27558",0,2,1,1,0,1,0,1,2,0,1,1,0,40,1,0,2,2,1,1
"10290",0,2,2,0,0,1,1,2,0,0,1,0,0,65,1,0,3,1,1,1
"38915",0,2,1,1,0,0,0,1,2,0,1,0,0,55,1,0,1,2,1,0
"6213",1,2,1,1,0,1,0,3,2,0,1,1,0,45,1,2,1,3,1,0
"21346",1,2,1,0,0,1,0,1,2,0,1,1,1,30,1,1,1,2,1,0
"24844",1,2,1,1,0,1,0,1,2,0,0,1,0,50,1,0,2,3,1,0
"22220",0,2,1,0,0,1,0,1,2,0,1,1,1,45,1,2,1,2,1,0
"21925",1,2,1,0,0,1,0,1,2,0,1,1,1,25,1,1,1,2,1,1
"23929",1,2,1,1,0,1,0,1,2,0,1,1,0,55,1,1,3,2,1,0
"5626",0,1,1,1,0,0,0,3,2,0,1,1,0,30,1,0,2,2,1,1
"34840",0,2,1,0,0,0,0,1,2,0,1,1,0,35,1,2,1,2,1,1
"5954",0,2,1,1,0,1,0,3,2,0,1,1,0,35,1,1,1,3,1,1
"40967",1,2,1,1,0,1,0,1,0,0,0,0,0,30,1,0,1,1,1,1
"34466",1,2,1,0,0,0,0,1,0,1,1,1,0,35,1,1,1,1,1,1
"33049",0,2,1,1,0,1,0,1,2,0,1,1,0,45,1,1,1,3,1,1
"23142",0,2,2,1,0,0,0,1,0,0,0,0,1,35,1,0,1,1,1,0
"14833",0,2,2,1,0,1,0,1,0,0,0,0,1,45,2,0,1,1,2,0
"32951",0,2,1,0,0,0,0,1,2,0,1,1,0,40,1,0,1,2,1,0
"11513",1,2,1,0,0,1,0,2,2,0,1,1,0,40,1,0,1,2,1,1
"28574",0,2,1,0,0,0,0,1,2,0,1,1,0,55,1,1,2,2,1,1
"11876",0,2,1,0,0,0,0,2,0,0,1,1,0,25,1,2,1,1,1,1
"1373",0,2,1,0,0,1,0,3,1,0,1,1,0,40,1,0,1,2,1,0
"28502",0,2,1,0,0,1,1,1,2,0,1,1,0,55,1,0,2,2,1,1
"11751",1,2,1,0,0,1,0,2,2,0,1,1,0,30,1,2,1,2,1,1
"2734",0,1,1,1,0,1,0,3,0,0,0,0,0,35,2,2,1,1,2,0
"28122",1,2,1,0,0,1,0,1,2,0,1,1,0,35,1,1,2,2,1,0
"29953",1,2,1,1,0,1,0,1,2,0,1,1,0,50,1,2,2,2,1,1
"13054",1,2,1,1,0,1,0,1,0,0,1,0,0,40,4,0,3,1,1,1
"4347",0,2,2,0,0,1,1,3,0,0,1,0,0,60,1,0,3,1,1,0
"21627",0,2,1,1,0,1,0,1,0,0,0,0,1,35,1,0,1,1,1,0
"38579",1,2,1,0,0,1,0,1,2,0,1,1,0,50,1,1,1,3,1,1
"15579",0,2,1,0,0,1,0,1,2,0,1,1,0,45,2,0,2,2,2,0
"41107",0,2,1,0,0,1,0,1,0,0,0,0,0,30,1,0,1,1,1,0
"18619",0,2,1,1,0,1,0,1,2,0,1,1,1,30,1,2,3,2,1,1
"22891",0,2,2,0,0,1,0,1,0,0,1,0,1,25,1,0,1,1,1,1
"32755",1,1,1,0,0,1,0,1,0,1,0,1,0,30,1,0,1,1,1,1
"5718",0,2,1,0,0,1,1,3,2,0,0,1,0,65,1,0,2,2,1,1
"40077",1,2,1,1,0,1,0,1,2,0,1,1,0,45,1,0,1,2,1,0
"35161",0,2,1,1,0,1,0,1,2,0,1,1,0,40,1,2,1,2,1,1
"10231",0,1,2,0,0,1,0,2,0,0,0,0,1,55,1,0,1,1,1,0
"3970",0,1,1,1,0,1,0,3,2,0,1,1,1,45,1,1,1,2,1,1
"21766",0,2,1,1,0,1,0,1,0,0,1,0,1,25,1,0,1,1,1,1
"20631",0,2,1,0,0,1,1,1,0,0,0,0,1,70,1,0,2,1,1,1
"3188",0,2,1,1,0,0,0,3,0,0,0,0,0,45,2,0,1,2,2,1
"12567",0,1,1,1,0,0,0,2,0,0,0,0,0,55,1,0,1,1,1,1
"11386",0,2,1,0,0,0,1,2,2,0,1,1,0,45,1,1,1,2,1,1
"32053",0,2,1,1,0,1,0,1,2,0,1,1,0,30,1,2,1,2,1,1
"818",1,2,1,1,0,1,0,3,2,0,1,1,0,35,1,2,2,3,1,1
"19664",0,2,1,0,1,1,1,1,2,0,0,1,1,55,1,2,2,2,1,0
"40853",1,1,1,0,0,0,0,1,0,0,1,0,0,25,1,0,1,1,1,0
"7374",0,1,1,0,0,1,1,3,2,0,0,1,0,55,1,0,1,2,1,1
"23213",0,2,1,1,0,0,0,1,0,0,0,0,1,45,1,0,1,1,1,1
"33605",0,2,1,0,0,1,0,1,2,0,1,1,0,35,1,0,1,2,1,0
"14372",0,2,1,1,0,1,0,1,2,0,1,1,1,35,2,2,1,2,2,0
"39885",0,2,1,1,0,0,0,1,2,0,0,1,0,45,1,0,1,2,1,1
"19429",1,2,1,1,0,1,1,1,2,0,0,1,1,60,1,0,2,2,1,0
"31349",0,1,1,1,0,1,0,1,0,0,0,0,0,55,1,0,2,1,1,0
"36444",0,2,1,0,0,1,0,1,2,0,1,1,0,30,1,0,1,2,1,1
"2899",1,2,1,1,0,1,0,3,2,0,0,1,0,40,2,0,1,3,2,0
"18618",1,2,1,0,0,1,0,1,2,0,1,1,1,25,1,1,3,2,1,0
"11683",1,2,1,0,0,1,0,2,2,0,1,1,0,55,1,0,1,2,1,1
"36440",1,2,1,0,0,1,0,1,2,0,1,1,0,30,1,1,1,2,1,1
"1113",1,2,1,1,0,0,0,3,2,0,0,1,0,35,1,0,1,2,1,0
"10151",1,1,1,1,0,0,0,2,0,0,0,0,1,55,1,0,1,1,1,1
"11178",0,2,1,1,0,1,1,2,0,0,0,1,0,70,1,0,2,1,1,0
"5390",1,2,1,1,0,1,0,3,0,0,0,1,0,40,1,0,2,1,1,0
"9002",0,2,1,0,0,1,0,2,0,0,0,0,0,25,2,0,1,1,1,1
"30691",1,2,1,1,0,1,0,1,2,0,1,1,0,45,1,1,2,2,1,0
"38344",0,2,1,0,0,1,0,1,2,0,0,1,0,45,1,0,1,2,1,1
"4574",0,2,1,1,0,1,0,3,2,0,1,1,0,55,1,1,2,2,1,1
"23651",0,2,1,0,0,1,0,1,2,0,1,1,0,45,1,2,3,2,1,0
"11062",0,2,2,1,0,1,1,2,0,0,0,0,0,65,1,0,2,1,1,1
"4322",0,2,2,1,0,1,0,3,2,0,1,1,0,50,1,2,3,2,1,0
"32311",0,2,1,1,0,1,0,1,2,0,1,1,0,45,1,1,1,2,1,1
"1461",1,2,2,1,0,1,0,3,0,0,0,0,0,45,1,0,1,1,1,0
"20882",0,2,2,1,1,1,0,1,2,0,1,1,1,45,1,2,1,2,1,0
"6880",0,2,1,1,0,0,0,3,0,0,1,0,0,50,1,0,1,1,1,0
"38704",0,2,1,0,0,1,0,1,2,0,1,1,0,55,1,0,1,2,1,1
"38056",1,2,1,1,0,1,0,1,2,0,1,1,0,35,1,0,1,2,1,0
"9601",0,2,1,0,0,1,1,2,0,0,0,0,1,70,1,0,2,1,1,1
"616",1,2,1,1,0,1,0,3,2,0,1,1,1,40,1,0,1,2,1,1
"38588",0,1,1,0,0,1,0,1,2,0,1,1,0,50,1,0,1,2,1,1
"30122",1,2,1,0,1,0,0,1,2,0,1,1,0,25,1,1,2,2,1,0
"24412",1,2,1,1,0,1,0,1,2,0,0,0,0,45,1,0,2,2,1,1
"33897",1,2,1,0,0,0,0,1,2,0,1,1,0,45,1,2,1,2,1,0
"16894",1,2,1,1,0,1,0,1,2,0,0,1,0,40,2,0,1,3,1,0
"21262",1,2,1,1,0,0,0,1,2,0,1,1,1,45,1,1,1,3,1,0
"32539",0,2,1,1,0,1,0,1,2,0,1,1,0,35,1,2,1,2,1,0
"24414",0,2,1,1,0,0,0,1,2,0,1,1,0,25,1,0,2,2,1,0
"19613",1,2,1,1,0,1,0,1,2,0,1,1,1,45,1,1,2,2,1,1
"3218",0,2,1,1,0,0,0,3,2,0,1,1,1,35,1,1,2,2,1,0
"41464",0,2,1,0,0,1,0,1,0,0,0,0,0,40,1,0,1,1,1,0
"20873",1,2,1,1,0,1,0,1,2,0,1,1,1,40,1,2,1,3,1,0
"31513",0,2,1,0,0,1,0,1,0,0,0,0,0,70,1,0,2,1,1,1
"38813",1,2,1,1,0,1,0,1,2,0,1,1,0,55,1,0,1,2,1,1
"14998",0,2,1,0,1,1,0,1,2,0,0,1,0,20,2,0,3,2,1,1
"16614",0,2,1,0,0,1,0,1,2,0,1,1,0,50,2,1,1,2,2,0
"12621",0,2,1,0,0,0,0,2,0,0,0,0,0,55,1,0,1,1,1,0
"2141",1,1,1,1,0,1,0,3,0,0,0,0,1,35,2,0,1,1,2,1
"8388",0,2,1,1,0,1,1,2,0,0,0,0,1,65,2,0,2,1,2,0
"40069",0,2,1,1,0,1,0,1,2,0,0,1,0,45,1,0,1,2,1,0
"5038",0,2,1,0,1,1,0,3,2,0,1,1,0,35,1,1,2,2,1,1
"18850",1,2,1,0,0,1,0,1,0,0,1,1,1,45,1,0,3,1,1,1
"31541",1,2,1,1,0,1,1,1,0,0,0,0,0,70,1,0,2,1,1,1
"7737",0,2,1,0,0,0,0,3,0,0,1,0,0,35,1,0,1,1,1,1
"18765",1,2,2,0,0,1,1,1,0,0,1,1,1,55,1,0,3,1,1,1
"9155",0,2,1,0,0,1,0,2,0,0,0,1,0,45,2,0,1,1,2,0
"3574",0,2,2,0,0,1,1,3,2,0,1,1,1,60,1,0,2,2,1,1
"3579",1,2,1,0,0,1,1,3,2,0,0,1,1,65,1,0,2,2,1,1
"4333",1,2,1,0,0,1,0,3,0,0,1,0,0,25,1,0,3,1,1,0
"27416",1,2,1,1,0,0,0,1,2,0,1,1,0,35,1,1,2,2,1,1
"41233",0,1,1,0,0,0,0,1,0,1,1,1,0,35,1,2,1,1,1,1
"31613",1,2,1,0,0,1,0,1,0,0,0,1,0,70,1,0,2,1,1,0
"9750",1,2,2,1,0,1,0,2,0,0,0,1,1,65,1,0,1,1,1,0
"20340",1,2,1,0,0,1,0,1,2,0,1,1,1,55,1,1,2,2,1,0
"14263",0,2,1,0,0,1,0,1,2,0,0,1,1,25,2,0,1,2,2,1
"26457",0,2,1,1,0,1,0,1,2,0,1,1,0,45,1,0,2,2,1,1
"15777",1,2,1,1,0,1,0,1,0,0,1,0,0,45,2,0,2,1,2,1
"7918",0,2,1,1,0,0,1,2,0,0,1,0,1,65,4,0,2,1,1,0
"33885",0,2,1,0,0,1,0,1,2,0,1,1,0,45,1,1,1,2,1,1
"652",1,1,2,1,0,1,0,3,0,0,0,0,1,35,1,0,1,1,1,1
"7478",0,1,1,0,0,1,0,3,0,1,1,1,0,25,1,0,1,1,1,1
"13343",0,2,2,0,0,1,1,1,2,0,0,1,1,70,3,0,2,2,2,0
"21924",1,2,1,1,0,0,0,1,2,0,1,1,1,25,1,2,1,2,1,1
"28823",1,2,1,0,0,1,0,1,2,0,0,1,0,65,1,0,2,2,1,0
"3699",1,2,1,1,0,1,1,3,0,0,0,0,1,70,1,0,2,1,1,0
"21916",1,2,2,1,0,1,0,1,2,0,1,1,1,25,1,2,1,2,1,1
"24898",0,2,1,0,0,1,1,1,2,0,0,1,0,65,1,0,2,2,1,0
"39331",0,2,1,0,0,1,0,1,2,0,0,1,0,30,1,0,1,2,1,1
"21308",0,2,1,0,0,1,0,1,2,0,0,1,1,30,1,0,1,2,1,0
"19864",1,2,2,0,0,1,1,1,2,0,0,1,1,60,1,0,2,2,1,0
"21438",1,2,1,1,0,1,0,1,2,0,1,1,1,45,1,2,1,2,1,1
"14106",1,2,1,0,0,1,0,1,2,0,0,1,1,50,2,0,2,2,1,0
"9355",0,2,2,1,0,1,0,2,0,0,1,0,1,45,1,0,3,1,1,1
"39226",1,2,1,0,0,1,0,1,2,0,1,1,0,25,1,2,1,2,1,0
"39149",0,2,1,0,0,1,0,1,2,0,0,1,0,25,1,0,1,3,1,1
"30205",0,2,1,1,0,1,0,1,2,0,1,1,0,35,1,0,2,2,1,1
"39055",0,1,1,1,0,1,0,1,1,0,1,1,0,35,1,0,1,2,1,1
"4874",0,2,1,0,0,1,1,3,2,0,0,1,0,60,1,0,2,3,1,0
"13951",1,2,1,0,0,1,9,1,2,0,1,1,1,60,2,0,2,2,2,0
"36891",1,2,1,1,0,1,0,1,2,0,1,1,0,35,1,0,1,2,1,0
"41992",0,2,1,1,0,1,0,1,0,0,0,0,0,55,1,0,1,1,1,0
"8139",0,2,1,1,0,0,0,2,0,0,0,0,0,55,4,0,1,1,1,0
"27483",1,2,1,0,0,1,0,1,2,0,1,1,0,35,1,2,2,2,1,0
"12042",0,2,2,1,0,1,0,2,0,0,0,0,0,35,1,0,1,1,1,1
"37343",1,2,1,0,0,1,0,1,2,0,1,1,0,25,1,0,1,2,1,0
"5194",0,2,1,1,0,0,0,3,2,0,1,1,0,35,1,1,2,2,1,1
"27561",1,2,1,0,0,1,0,1,2,0,1,1,0,40,1,1,2,2,1,1
"36888",0,2,1,0,0,1,0,1,2,0,1,1,0,30,1,0,1,2,1,0
"29099",1,2,1,0,0,1,1,1,0,0,0,1,0,60,1,0,2,2,1,1
"35010",1,2,1,0,0,1,0,1,2,0,1,1,0,35,1,1,1,2,1,0
"25509",0,2,1,1,0,1,0,1,2,0,0,1,0,60,1,0,2,2,1,1
"159",1,2,1,1,0,1,0,3,2,0,1,1,1,45,2,1,1,2,1,0
"13931",0,2,1,0,0,1,0,1,0,0,1,0,1,50,2,0,2,1,1,1
"8632",0,2,1,0,0,1,1,2,2,0,0,1,0,60,2,0,2,2,2,0
"8974",1,2,1,1,0,1,0,2,1,0,1,1,0,35,2,1,1,2,2,0
"11721",0,1,1,1,1,0,0,2,1,0,0,1,0,35,1,0,1,2,1,1
"8515",0,2,1,0,0,1,0,2,0,0,0,0,1,65,2,0,1,1,1,1
"14814",0,2,2,1,0,1,0,1,0,0,0,0,1,40,2,0,1,1,2,0
"40884",0,2,1,1,0,1,0,1,0,0,1,0,0,25,1,1,1,2,1,0
"2999",0,2,1,0,0,1,0,3,2,0,1,1,0,30,2,0,1,2,2,0
"22359",0,2,1,1,0,1,0,1,2,0,1,1,1,70,1,2,1,2,1,1
"25798",0,2,1,1,0,1,1,1,2,0,0,1,0,60,1,0,2,2,1,1
"34191",0,2,1,0,0,1,0,1,2,0,1,1,0,35,1,1,1,2,1,0
"20224",0,2,1,0,0,1,0,1,2,0,1,1,1,35,1,1,2,2,1,0
"29213",1,2,1,1,0,1,1,1,2,0,0,1,0,70,1,0,2,2,1,1
"37078",0,2,1,1,0,1,0,1,2,0,1,1,0,25,1,2,1,2,1,1
"5561",1,2,1,0,0,1,0,3,2,0,1,1,0,40,1,0,2,2,1,1
"33194",0,2,1,0,0,1,0,1,2,0,1,1,0,45,1,0,1,2,1,0
"22851",0,2,1,0,0,0,0,1,0,1,0,1,1,25,1,0,1,1,1,1
"8658",0,2,1,0,0,1,1,2,2,0,0,1,0,60,2,0,2,2,2,1
"28174",0,2,1,1,0,0,0,1,2,0,0,1,0,40,1,0,2,3,1,1
"17295",1,2,1,0,0,1,0,1,2,0,1,1,0,25,2,2,1,2,2,0
"26022",0,2,1,1,0,0,0,1,2,0,1,1,0,40,1,1,2,2,1,1
"29957",0,2,1,1,0,1,0,1,2,0,1,1,0,50,1,0,2,2,1,1
"35721",0,2,1,1,0,1,0,1,2,0,1,1,0,40,1,0,1,2,1,0
"16865",1,2,1,1,0,1,0,1,1,0,1,1,0,25,2,0,1,2,2,1
"7752",0,1,1,1,0,1,0,3,0,0,0,0,0,35,1,0,1,1,1,0
"35863",1,2,1,0,0,1,0,1,0,0,1,1,0,25,1,0,1,1,1,1
"23126",1,2,2,1,0,1,0,1,0,0,0,0,1,35,1,0,1,1,1,0
"30166",1,2,1,1,0,1,0,1,2,0,0,1,0,30,1,0,2,3,1,0
"19074",0,2,1,0,0,1,0,1,2,0,0,1,1,55,1,0,2,2,1,1
"24594",0,2,1,1,0,1,0,1,2,0,1,1,0,40,1,1,2,2,1,1
"37307",1,2,1,0,0,1,0,1,2,0,1,1,0,25,1,2,1,2,1,0
"4559",1,2,1,0,0,0,0,3,2,0,1,1,0,35,1,1,2,2,1,0
"14396",1,2,1,0,0,1,0,1,2,0,0,1,1,35,2,0,1,2,2,0
"25532",0,2,1,0,1,1,1,1,2,0,0,1,0,60,1,2,2,2,1,0
"25450",0,2,1,0,0,1,0,1,2,0,1,1,0,45,1,1,2,2,1,0
"41135",1,2,1,0,0,1,0,1,0,0,0,0,0,30,1,0,1,1,1,0
"14522",1,2,1,0,0,1,0,1,2,0,1,1,1,35,2,0,1,2,2,1
"37431",1,2,1,1,0,1,0,1,2,0,1,1,0,25,1,0,1,2,1,0
"38337",1,2,1,1,0,1,0,1,2,0,1,1,0,45,1,0,1,2,1,1
"21353",1,2,1,0,0,1,0,1,2,0,1,1,1,30,1,0,1,2,1,0
"25769",1,2,1,0,0,1,1,1,2,0,0,1,0,55,1,0,2,2,1,0
"15850",1,2,1,0,0,1,0,1,2,0,1,1,0,30,2,0,2,2,1,1
"41903",0,2,1,0,0,1,0,1,0,0,0,1,0,55,1,0,1,1,1,1
"34089",1,2,1,0,1,1,0,1,2,0,1,1,0,35,1,1,1,3,1,1
"40637",1,2,1,0,0,1,0,1,0,1,1,1,0,25,1,0,1,1,1,1
"6585",0,1,1,0,0,0,0,3,2,0,1,1,0,30,1,0,1,2,1,1
"15759",0,2,1,0,0,1,1,1,0,0,0,0,0,55,2,0,2,2,1,1
"22134",1,2,1,1,0,0,0,1,2,0,1,1,1,40,1,0,1,2,1,1
"21094",1,2,1,1,0,1,0,1,2,0,1,1,1,35,1,1,1,2,1,0
"40858",1,2,1,0,0,1,0,1,0,0,1,0,0,25,1,0,1,1,1,0
"29091",1,2,1,1,0,1,0,1,0,0,0,0,0,60,1,0,2,2,1,1
"30804",1,2,1,0,1,1,0,1,2,0,0,1,0,55,1,2,2,2,1,1
"41202",0,2,1,0,0,1,0,1,0,1,0,1,0,35,1,0,1,1,1,1
"18922",0,2,1,0,0,1,0,1,2,0,1,1,1,40,1,1,2,3,1,1
"627",1,2,1,0,0,1,0,3,2,0,1,1,1,20,1,0,1,2,1,0
"41486",1,2,1,0,0,0,0,1,0,0,0,1,0,45,1,0,1,1,1,1
"34760",1,2,2,0,0,1,0,1,2,0,1,1,0,30,1,2,1,2,1,0
"10988",0,2,1,1,0,1,0,2,0,0,0,0,0,55,1,0,2,1,1,1
"15612",0,2,1,1,0,0,0,1,1,0,1,1,0,40,2,1,2,2,2,0
"15310",1,2,1,1,0,1,0,1,2,0,1,1,0,45,2,2,2,2,2,1
"23955",1,2,1,0,0,1,0,1,2,0,0,1,0,25,1,0,3,2,1,0
"30099",1,2,1,1,0,1,0,1,1,0,1,1,0,55,1,2,2,2,1,1
"35100",1,2,1,1,0,0,0,1,2,0,1,1,0,40,1,1,1,2,1,1
"2433",0,2,1,0,0,1,0,3,2,0,1,1,0,35,2,1,2,2,2,1
"20217",0,2,1,1,0,1,0,1,2,0,1,1,1,35,1,0,2,2,1,0
"12872",0,2,1,0,0,0,0,2,0,0,0,0,0,25,1,0,1,1,2,0
"9151",1,2,1,0,0,1,0,2,0,1,0,1,0,45,2,0,1,1,2,1
"35533",1,2,1,0,0,1,0,1,2,0,1,1,0,35,1,1,1,2,1,1
"31764",1,2,1,0,0,1,0,1,2,0,1,1,0,30,1,2,2,2,1,0
"19938",1,2,1,0,0,1,1,1,0,0,0,1,1,55,1,2,2,1,1,1
"28112",1,2,1,1,0,1,0,1,2,0,0,1,0,35,1,0,2,3,1,0
"40335",0,2,1,0,0,0,0,1,2,0,1,1,0,55,1,0,1,2,1,0
"25776",0,2,1,0,0,1,1,1,2,0,1,1,0,55,1,0,2,2,1,0
"38830",1,2,1,1,0,1,0,1,2,0,1,1,0,55,1,2,1,2,1,0
"4191",0,2,1,0,0,1,0,3,2,0,1,1,0,30,1,0,3,2,1,1
"16203",1,2,1,1,0,1,1,1,0,0,0,0,0,70,2,0,2,1,2,1
"23745",0,2,1,1,0,0,0,1,2,0,1,1,0,30,1,1,3,2,1,0
"9622",0,1,1,1,0,0,1,2,0,0,0,0,1,70,1,0,2,1,1,0
"4446",1,2,2,0,0,0,0,3,2,0,1,1,0,55,1,2,2,2,1,0
"11578",0,1,1,0,0,1,0,2,2,0,0,1,0,55,1,0,1,2,1,0
"41940",0,1,1,1,0,1,0,1,0,0,0,0,0,55,1,0,1,1,1,0
"16277",1,2,1,1,0,1,0,1,2,0,1,1,0,35,2,0,1,4,2,1
"2730",1,1,1,1,0,0,0,3,0,0,0,0,0,30,2,0,1,1,2,0
"213",1,2,1,0,0,1,0,3,2,0,1,1,0,45,2,0,2,2,2,1
"39361",0,1,1,1,0,0,0,1,2,0,1,1,0,30,1,1,1,2,1,0
"2783",0,2,1,1,0,1,0,3,2,0,1,1,0,35,2,1,1,2,2,1
"12920",1,2,1,0,0,1,1,1,0,0,0,0,1,70,4,0,2,1,2,0
"30504",1,2,1,0,1,1,1,1,2,0,0,1,0,40,1,2,2,2,1,0
"40192",1,2,1,1,0,1,0,1,2,0,1,1,0,55,1,0,1,2,1,1
"34892",1,2,1,1,0,1,0,1,2,0,1,1,0,35,1,2,1,2,1,1
"9118",0,1,2,1,0,1,0,2,0,0,0,0,0,35,2,0,1,1,2,0
"18974",0,2,2,0,0,1,0,1,2,0,1,1,1,50,1,2,2,2,1,0
"20257",1,2,1,0,0,1,0,1,2,0,0,1,1,40,1,0,2,2,1,0
"31300",0,2,1,0,0,0,0,1,0,1,0,1,0,55,1,0,2,1,1,1
"1654",0,2,1,1,0,1,0,3,2,0,0,1,1,55,4,0,2,2,2,0
"3591",0,2,2,0,0,1,1,3,0,0,0,0,1,50,1,0,2,1,1,1
"12782",1,2,1,0,0,1,0,2,0,0,0,1,0,55,1,0,1,1,1,0
"5853",1,2,1,0,0,1,1,3,0,0,1,1,0,55,1,0,2,1,1,0
"34435",1,2,1,1,0,0,0,1,2,0,0,1,0,50,1,0,1,2,1,1
"29378",0,2,1,0,0,1,1,1,2,0,0,1,0,70,1,0,2,2,1,1
"24240",0,2,1,0,0,1,0,1,2,0,0,1,0,40,1,0,3,3,1,1
"17903",1,2,1,1,0,1,0,1,0,0,0,0,0,25,2,0,1,1,2,0
"13842",0,2,1,0,0,1,0,1,2,0,0,1,1,30,2,0,2,2,2,1
"28346",0,2,1,0,0,1,0,1,2,0,1,1,0,45,1,1,2,2,1,1
"32470",0,2,1,0,0,1,0,1,2,0,1,1,0,30,1,1,1,2,1,0
"6078",0,2,1,0,0,1,0,3,0,0,0,0,0,25,1,0,1,1,1,0
"17847",0,2,1,1,0,1,0,1,0,0,1,0,0,40,2,1,1,1,1,0
"19302",0,2,1,0,0,1,0,1,2,0,1,1,1,45,1,1,2,2,1,0
"19426",1,2,1,0,0,1,1,1,2,0,0,1,1,60,1,0,2,3,1,0
"8189",1,2,2,1,0,1,0,2,2,0,0,1,1,35,3,0,1,2,2,0
"27813",1,2,1,1,0,1,0,1,2,0,0,1,0,45,1,0,2,4,1,0
"34852",0,2,1,0,0,1,0,1,2,0,1,1,0,35,1,0,1,2,1,1
"27913",1,2,1,0,0,0,0,1,2,0,1,1,0,55,1,1,2,2,1,0
"36091",0,2,1,0,0,1,0,1,2,0,1,1,0,25,1,2,1,2,1,0
"39520",0,2,1,1,0,1,0,1,2,0,1,1,0,35,1,0,1,2,1,1
"29537",1,2,1,1,0,1,0,1,2,0,1,1,0,35,1,0,2,2,1,1
"13929",1,2,1,0,0,1,1,1,2,0,0,1,1,60,2,0,2,2,2,0
"30933",1,2,1,0,1,1,0,1,2,0,0,1,0,65,1,0,2,4,1,1
"33744",0,2,1,1,0,1,0,1,2,0,1,1,0,40,1,0,1,2,1,0
"28068",0,2,1,0,0,0,0,1,2,0,1,1,0,35,1,1,2,3,1,1
"2809",1,1,1,1,0,1,0,3,2,0,1,1,0,50,2,0,1,2,2,1
"25660",0,2,1,1,0,0,0,1,0,0,0,0,0,60,1,0,2,1,1,1
"18546",0,2,1,1,0,0,0,1,0,0,1,0,1,25,1,0,1,1,1,0
"20193",0,2,2,1,1,1,0,1,2,0,1,1,1,35,1,1,2,3,1,1
"5375",0,2,1,1,0,1,0,3,0,0,1,0,0,40,1,1,2,1,1,1
"4736",0,2,1,0,0,1,0,3,2,0,1,1,0,35,1,1,2,2,1,0
"3094",0,2,1,0,0,0,0,3,0,1,0,1,0,30,2,0,1,1,1,1
"8607",0,2,1,1,0,0,0,2,2,0,1,1,0,25,2,1,3,2,2,1
"27680",1,2,1,0,0,0,0,1,2,0,1,1,0,45,1,0,2,2,1,1
"30951",0,2,1,0,0,1,1,1,2,0,0,1,0,65,1,0,2,2,1,0
"29811",0,2,1,1,0,1,0,1,2,0,1,1,0,40,1,1,2,2,1,0
"21337",1,2,1,0,0,1,0,1,2,0,1,1,1,30,1,2,1,2,1,1
"41216",0,2,2,1,0,1,0,1,0,0,0,0,0,35,1,0,1,1,1,1
"12728",0,2,1,0,0,1,0,2,0,0,0,1,0,55,1,0,1,1,1,0
"29454",1,2,1,0,0,1,0,1,2,0,1,1,0,30,1,2,2,2,1,1
"8332",0,2,2,0,0,1,1,2,2,0,0,1,1,55,2,0,2,2,2,1
"33499",1,2,1,1,0,1,0,1,2,0,1,1,0,35,1,1,1,2,1,1
"8469",0,1,1,1,0,1,0,2,0,0,0,0,1,35,2,0,1,1,1,0
"14716",1,1,2,1,0,0,0,1,0,0,0,0,1,45,2,0,1,1,1,1
"25777",1,2,1,0,0,1,1,1,2,0,0,1,0,55,1,0,2,2,1,0
"10344",0,1,1,1,0,0,0,2,2,0,0,1,0,45,1,0,2,2,1,0
"4369",0,2,1,1,0,1,0,3,2,0,1,1,0,30,1,1,2,2,1,1
"712",1,2,2,1,0,0,0,3,0,0,0,0,1,55,1,0,1,1,1,0
"14457",0,2,1,1,0,1,0,1,2,0,1,1,1,30,2,0,1,2,1,1
